c_Sport,c_Season,c_Event,c_Gender,n_DateSort,c_Person,c_PersonNatio,c_NOC,c_Result,n_ResultSort,c_Class
Swimming,2018,100m Backstroke,Women,20180406,Cassie Wild,Scotland,Great Britain,1:00.93,60930,Elite
Swimming,2018,100m Backstroke,Women,20180406,Jessica Fullalove,England,Great Britain,1:01.04,61040,Elite
Swimming,2018,100m Backstroke,Women,20180725,Lily Boseley,Great Britain,Great Britain,1:01.54,61540,Elite
Swimming,2018,100m Backstroke,Women,20180725,Chloe Golding,England,Great Britain,1:01.56,61560,Elite
Swimming,2018,100m Backstroke,Women,20180725,Alicia Wilson,Great Britain,Great Britain,1:01.73,61730,Elite
Swimming,2018,100m Backstroke,Women,20180725,Lauren Cox,Great Britain,Great Britain,1:01.99,61990,Elite
Swimming,2018,100m Backstroke,Women,20180406,Anna Maine,England,Great Britain,1:02.29,62290,Elite
Swimming,2018,100m Backstroke,Women,20180725,Tegan Drew,Great Britain,Great Britain,1:02.34,62340,Elite
Swimming,2018,100m Backstroke,Women,20180725,Laura Stephens,England,Great Britain,1:02.40,62400,Elite
Swimming,2018,100m Backstroke,Women,20180725,Jennifer King,Great Britain,Great Britain,1:02.61,62610,Elite
Swimming,2018,100m Backstroke,Women,20180406,Charlotte Evans,Great Britain,Great Britain,1:02.61,62610,Elite
Swimming,2018,100m Backstroke,Women,20180303,Kathryn Greenslade,Wales,Great Britain,1:02.64,62640,Elite
Swimming,2018,100m Backstroke,Women,20180112,Medi Harris,Great Britain,Great Britain,1:02.86,62860,Elite
Swimming,2018,100m Backstroke,Women,20180725,Ceara Barber,Great Britain,Great Britain,1:03.00,63000,Elite
Swimming,2018,100m Backstroke,Women,20180329,Emily Grant,Great Britain,Great Britain,1:03.08,63080,Elite
Swimming,2018,100m Backstroke,Women,20180725,Pia Murray,Great Britain,Great Britain,1:03.16,63160,Elite
Swimming,2018,100m Backstroke,Women,20180725,Rachel Anderson,Great Britain,Great Britain,1:03.16,63160,Elite
Swimming,2018,100m Backstroke,Women,20180525,Julia Scrivin,Great Britain,Great Britain,1:03.21,63210,Elite
Swimming,2018,100m Backstroke,Women,20180519,Hannah Burvill,Great Britain,Great Britain,1:03.45,63450,Elite
Swimming,2018,100m Backstroke,Women,20180303,Caitlin Hubbard,Great Britain,Great Britain,1:03.49,63490,Elite
Swimming,2018,100m Backstroke,Women,20180112,Harriet West,Wales,Great Britain,1:03.56,63560,Elite
Swimming,2018,100m Backstroke,Women,20180429,Emma Day,England,Great Britain,1:03.61,63610,Elite
Swimming,2018,100m Backstroke,Women,20180725,Emily Peck,Great Britain,Great Britain,1:03.64,63640,Elite
Swimming,2018,100m Backstroke,Women,20180507,Martha Duley,Great Britain,Great Britain,1:03.75,63750,Elite
Swimming,2018,100m Backstroke,Women,20180407,Karen Reid,Scotland,Great Britain,1:03.76,63760,Elite
Swimming,2018,100m Breaststroke,Men,20180804,Adam Peaty,England,Great Britain,57.10,57100,Elite
Swimming,2018,100m Breaststroke,Men,20180804,James Wilby,England,Great Britain,58.64,58640,Elite
Swimming,2018,100m Breaststroke,Men,20180803,Ross Murdoch,Scotland,Great Britain,59.14,59140,Elite
Swimming,2018,100m Breaststroke,Men,20180724,Craig Benson,Scotland,Great Britain,59.50,59500,Elite
Swimming,2018,100m Breaststroke,Men,20180724,Lawrence Palmer,Great Britain,Great Britain,1:00.96,60960,Elite
Swimming,2018,100m Breaststroke,Men,20180724,David Murphy,Great Britain,Great Britain,1:01.03,61030,Elite
Swimming,2018,100m Breaststroke,Men,20180407,Andrew Willis,England,Great Britain,1:01.13,61130,Elite
Swimming,2018,100m Breaststroke,Men,20180724,Gregory Butler,Great Britain,Great Britain,1:01.23,61230,Elite
Swimming,2018,100m Breaststroke,Men,20180724,Charlie Attwood,England,Great Britain,1:01.58,61580,Elite
Swimming,2018,100m Breaststroke,Men,20180406,Calum Tait,Great Britain,Great Britain,1:01.62,61620,Elite
Swimming,2018,100m Breaststroke,Men,20180414,Zak Aitchison,Great Britain,Great Britain,1:01.83,61830,Elite
Swimming,2018,100m Breaststroke,Men,20180724,Edward Baxter,Great Britain,Great Britain,1:02.03,62030,Elite
Swimming,2018,100m Breaststroke,Men,20180724,Archie Goodburn,Great Britain,Great Britain,1:02.13,62130,Elite
Swimming,2018,100m Breaststroke,Men,20180724,James Lewis,Great Britain,Great Britain,1:02.17,62170,Elite
Swimming,2018,100m Breaststroke,Men,20180724,Oliver Crosby,Great Britain,Great Britain,1:02.37,62370,Elite
Swimming,2018,100m Breaststroke,Men,20180519,Dominic Polling,Great Britain,Great Britain,1:02.48,62480,Elite
Swimming,2018,100m Breaststroke,Men,20180724,Adam Chillingworth,Great Britain,Great Britain,1:02.58,62580,Elite
Swimming,2018,100m Breaststroke,Men,20180731,Kyle Boyek,Great Britain,Great Britain,1:03.15,63150,Elite
Swimming,2018,100m Breaststroke,Men,20180731,George Hopkins,Great Britain,Great Britain,1:03.19,63190,Elite
Swimming,2018,100m Breaststroke,Men,20180404,Luke Davies,Great Britain,Great Britain,1:03.26,63260,Elite
Swimming,2018,100m Breaststroke,Men,20180731,Marcus Gardiner,Great Britain,Great Britain,1:03.34,63340,Elite
Swimming,2018,100m Breaststroke,Men,20180724,James Mcfadzen,Great Britain,Great Britain,1:03.36,63360,Elite
Swimming,2018,100m Breaststroke,Men,20180303,Kyle Booth,Great Britain,Great Britain,1:03.47,63470,Elite
Swimming,2018,100m Breaststroke,Women,20180804,Siobhan-Marie O'Connor,England,Great Britain,1:06.99,66990,Elite
Swimming,2018,100m Breaststroke,Women,20180409,Chloe Tutton,Wales,Great Britain,1:07.87,67870,Elite
Swimming,2018,100m Breaststroke,Women,20180729,Katie Matts,Great Britain,Great Britain,1:07.92,67920,Elite
Swimming,2018,100m Breaststroke,Women,20180409,Sarah Vasey,England,Great Britain,1:08.36,68360,Elite
Swimming,2018,100m Breaststroke,Women,20180804,Imogen Clark,Great Britain,Great Britain,1:08.36,68360,Elite
Swimming,2018,100m Breaststroke,Women,20180629,Molly Renshaw,England,Great Britain,1:08.50,68500,Elite
Swimming,2018,100m Breaststroke,Women,20180729,Tatiana Belonogoff,Great Britain,Great Britain,1:08.63,68630,Elite
Swimming,2018,100m Breaststroke,Women,20180408,Jocelyn Ulyett,England,Great Britain,1:08.68,68680,Elite
Swimming,2018,100m Breaststroke,Women,20180729,Annabel Guye-Johnson,Great Britain,Great Britain,1:08.68,68680,Elite
Swimming,2018,100m Breaststroke,Women,20180707,Katie Robertson,Great Britain,Great Britain,1:08.74,68740,Elite
Swimming,2018,100m Breaststroke,Women,20180729,Kara Hanlon,Great Britain,Great Britain,1:08.85,68850,Elite
Swimming,2018,100m Breaststroke,Women,20180302,Corrie Scott,Scotland,Great Britain,1:09.06,69060,Elite
Swimming,2018,100m Breaststroke,Women,20180408,Laura Kinley,Isle of Man,Great Britain,1:09.71,69710,Elite
Swimming,2018,100m Breaststroke,Women,20180729,Beth Aitchison,Great Britain,Great Britain,1:10.04,70040,Elite
Swimming,2018,100m Breaststroke,Women,20180408,Carmella Kitching,Great Britain,Great Britain,1:10.07,70070,Elite
Swimming,2018,100m Breaststroke,Women,20180428,Georgina Evans,Great Britain,Great Britain,1:10.10,70100,Elite
Swimming,2018,100m Breaststroke,Women,20180707,Angharad Evans,Great Britain,Great Britain,1:10.16,70160,Elite
Swimming,2018,100m Breaststroke,Women,20180729,Grace Gilroy,Great Britain,Great Britain,1:10.20,70200,Elite
Swimming,2018,100m Breaststroke,Women,20180408,Megan Morrison,Great Britain,Great Britain,1:10.28,70280,Elite
Swimming,2018,100m Breaststroke,Women,20180729,Kayla Van Der Merwe,Great Britain,Great Britain,1:10.50,70500,Elite
Swimming,2018,100m Breaststroke,Women,20180302,Rebecca Clynes,Great Britain,Great Britain,1:10.70,70700,Elite
Swimming,2018,100m Breaststroke,Women,20180729,Amy Bell,Great Britain,Great Britain,1:10.72,70720,Elite
Swimming,2018,100m Breaststroke,Women,20180404,Orla Adams,Great Britain,Great Britain,1:10.94,70940,Elite
Swimming,2018,100m Breaststroke,Women,20180408,Niamh Robinson,Isle of Man,Great Britain,1:11.10,71100,Elite
Swimming,2018,100m Breaststroke,Women,20180707,Lily Booker,Great Britain,Great Britain,1:11.11,71110,Elite
Swimming,2018,100m Breaststroke,Women,20180729,Rachel Taylor,Great Britain,Great Britain,1:11.18,71180,Elite
Swimming,2018,100m Breaststroke,Women,20180324,Layla Black,Great Britain,Great Britain,1:11.28,71280,Elite
Swimming,2018,100m Breaststroke,Women,20180408,Bethan Sloan,Wales,Great Britain,1:11.34,71340,Elite
Swimming,2018,100m Breaststroke,Women,20180729,Cira Fletcher,Great Britain,Great Britain,1:11.37,71370,Elite
Swimming,2018,100m Breaststroke,Women,20180302,Flora Perkin,Great Britain,Great Britain,1:11.63,71630,Elite
Swimming,2018,100m Breaststroke,Women,20180609,Hannah Miley,Scotland,Great Britain,1:11.68,71680,Elite
Swimming,2018,100m Breaststroke,Women,20180731,Morgan Penney,Great Britain,Great Britain,1:11.69,71690,Elite
Swimming,2018,100m Breaststroke,Women,20180112,Cerys Coley,Great Britain,Great Britain,1:11.80,71800,Elite
Swimming,2018,100m Butterfly,Men,20180409,James Guy,England,Great Britain,51.31,51310,Elite
Swimming,2018,100m Butterfly,Men,20180727,Cameron Brooks-Clarke,Great Britain,Great Britain,52.89,52890,Elite
Swimming,2018,100m Butterfly,Men,20180808,Jacob Peters,England,Great Britain,53.02,53020,Elite
Swimming,2018,100m Butterfly,Men,20180727,Sam Horrocks,Great Britain,Great Britain,53.07,53070,Elite
Swimming,2018,100m Butterfly,Men,20180727,Matthew Domville,Great Britain,Great Britain,53.19,53190,Elite
Swimming,2018,100m Butterfly,Men,20180408,Sean Campsie,Scotland,Great Britain,53.31,53310,Elite
Swimming,2018,100m Butterfly,Men,20180408,Calum Jarvis,Wales,Great Britain,53.33,53330,Elite
Swimming,2018,100m Butterfly,Men,20180609,Duncan Scott,Scotland,Great Britain,53.77,53770,Elite
Swimming,2018,100m Butterfly,Men,20180707,Lewis Fraser,Great Britain,Great Britain,53.85,53850,Elite
Swimming,2018,100m Butterfly,Men,20180406,Kevin Wallbank,Great Britain,Great Britain,54.17,54170,Elite
Swimming,2018,100m Butterfly,Men,20180629,Max Litchfield,England,Great Britain,54.31,54310,Elite
Swimming,2018,100m Butterfly,Men,20180720,Scott Mclay,Scotland,Great Britain,54.36,54360,Elite
Swimming,2018,100m Butterfly,Men,20180720,Joseph Clark,Great Britain,Great Britain,54.38,54380,Elite
Swimming,2018,100m Butterfly,Men,20180415,Martyn Walton,England,Great Britain,54.48,54480,Elite
Swimming,2018,100m Butterfly,Men,20180727,Archie Goodburn,Great Britain,Great Britain,54.52,54520,Elite
Swimming,2018,100m Butterfly,Men,20180727,Dominic Wooldridge,Great Britain,Great Britain,54.52,54520,Elite
Swimming,2018,100m Butterfly,Men,20180727,Oliver Maltby,Great Britain,Great Britain,54.55,54550,Elite
Swimming,2018,100m Butterfly,Men,20180727,Sam Dailley,Great Britain,Great Britain,54.57,54570,Elite
Swimming,2018,100m Butterfly,Men,20180727,Ben Hooper,Great Britain,Great Britain,54.61,54610,Elite
Swimming,2018,100m Butterfly,Men,20180727,Jacob Jackson,Great Britain,Great Britain,54.65,54650,Elite
Swimming,2018,100m Butterfly,Women,20180406,Charlotte Atkinson,Isle of Man,Great Britain,57.88,57880,Elite
Swimming,2018,100m Butterfly,Women,20180406,Alys Thomas,Wales,Great Britain,58.06,58060,Elite
Swimming,2018,100m Butterfly,Women,20180301,Harriet Jones,Wales,Great Britain,58.85,58850,Elite
Swimming,2018,100m Butterfly,Women,20180301,Tain Bruce,Great Britain,Great Britain,58.92,58920,Elite
Swimming,2018,100m Butterfly,Women,20180706,Emily Large,England,Great Britain,59.16,59160,Elite
Swimming,2018,100m Butterfly,Women,20180729,Laura Stephens,England,Great Britain,59.36,59360,Elite
Swimming,2018,100m Butterfly,Women,20180301,Harriet West,Wales,Great Britain,59.43,59430,Elite
Swimming,2018,100m Butterfly,Women,20180405,Keanna Macinnes,Scotland,Great Britain,59.55,59550,Elite
Swimming,2018,100m Butterfly,Women,20180301,Siobhan-Marie O'Connor,England,Great Britain,59.59,59590,Elite
Swimming,2018,100m Butterfly,Women,20180729,Isobel Grant,England,Great Britain,1:00.49,60490,Elite
Swimming,2018,100m Butterfly,Women,20180301,Ciara Schlosshan,Great Britain,Great Britain,1:00.54,60540,Elite
Swimming,2018,100m Butterfly,Women,20180204,Holly Hibbott,England,Great Britain,1:00.67,60670,Elite
Swimming,2018,100m Butterfly,Women,20180729,Maisie Elliott,Great Britain,Great Britain,1:00.83,60830,Elite
Swimming,2018,100m Butterfly,Women,20180729,Betsy Wizard,Great Britain,Great Britain,1:00.89,60890,Elite
Swimming,2018,100m Butterfly,Women,20180729,Sophie Freeman,Great Britain,Great Britain,1:00.92,60920,Elite
Swimming,2018,100m Butterfly,Women,20180729,Tori Sopp,Great Britain,Great Britain,1:01.19,61190,Elite
Swimming,2018,100m Butterfly,Women,20180301,Isabel Spinley,Great Britain,Great Britain,1:01.21,61210,Elite
Swimming,2018,100m Butterfly,Women,20180630,Eleanor Faulkner,England,Great Britain,1:01.22,61220,Elite
Swimming,2018,100m Butterfly,Women,20181130,Anna Hopkin,England,Great Britain,1:01.27,61270,Elite
Swimming,2018,100m Butterfly,Women,20180729,Caitlin Hubbard,Great Britain,Great Britain,1:01.44,61440,Elite
Swimming,2018,100m Butterfly,Women,20180522,Julia Scrivin,Great Britain,Great Britain,1:01.53,61530,Elite
Swimming,2018,100m Butterfly,Women,20180729,Yasmin Perry,Great Britain,Great Britain,1:01.57,61570,Elite
Swimming,2018,100m Butterfly,Women,20180729,Jasmine Mccrea,Great Britain,Great Britain,1:01.64,61640,Elite
Swimming,2018,100m Butterfly,Women,20180729,Kate Mills,Great Britain,Great Britain,1:01.66,61660,Elite
Swimming,2018,100m Butterfly,Women,20180729,Pia Murray,Great Britain,Great Britain,1:01.66,61660,Elite
Swimming,2018,100m Freestyle,Men,20180408,Duncan Scott,Scotland,Great Britain,48.02,48020,Elite
Swimming,2018,100m Freestyle,Men,20180407,Calum Jarvis,Wales,Great Britain,49.65,49650,Elite
Swimming,2018,100m Freestyle,Men,20180407,Jack Thorpe,Great Britain,Great Britain,49.75,49750,Elite
Swimming,2018,100m Freestyle,Men,20180407,David Cumberlidge,England,Great Britain,49.77,49770,Elite
Swimming,2018,100m Freestyle,Men,20180719,Scott Mclay,Scotland,Great Britain,49.88,49880,Elite
Swimming,2018,100m Freestyle,Men,20180301,Lewis Burras,Great Britain,Great Britain,49.89,49890,Elite
Swimming,2018,100m Freestyle,Men,20180726,Harry Constantine,Great Britain,Great Britain,49.99,49990,Elite
Swimming,2018,100m Freestyle,Men,20180804,Craig McLean,Scotland,Great Britain,50.00,50000,Elite
Swimming,2018,100m Freestyle,Men,20180407,Kieran McGuckin,Scotland,Great Britain,50.02,50020,Elite
Swimming,2018,100m Freestyle,Men,20180407,Samuel Irvine,Great Britain,Great Britain,50.03,50030,Elite
Swimming,2018,100m Freestyle,Men,20180128,Benjamin Proud,England,Great Britain,50.03,50030,Elite
Swimming,2018,100m Freestyle,Men,20180407,Alex Bowen,Great Britain,Great Britain,50.23,50230,Elite
Swimming,2018,100m Freestyle,Men,20180726,Alex Wray,Great Britain,Great Britain,50.26,50260,Elite
Swimming,2018,100m Freestyle,Men,20180401,Dan Jones,Great Britain,Great Britain,50.28,50280,Elite
Swimming,2018,100m Freestyle,Men,20180726,Martyn Walton,England,Great Britain,50.47,50470,Elite
Swimming,2018,100m Freestyle,Men,20180726,Joe Page,United Arab Emirates,Great Britain,50.52,50520,Elite
Swimming,2018,100m Freestyle,Men,20180301,Stephen Milne,Scotland,Great Britain,50.55,50550,Elite
Swimming,2018,100m Freestyle,Men,20180407,Elliot Clogg,England,Great Britain,50.56,50560,Elite
Swimming,2018,100m Freestyle,Men,20180407,Timothy Shuttleworth,Great Britain,Great Britain,50.66,50660,Elite
Swimming,2018,100m Freestyle,Men,20180726,Lewis Clough,Great Britain,Great Britain,50.68,50680,Elite
Swimming,2018,100m Freestyle,Women,20180808,Freya Anderson,England,Great Britain,53.61,53610,Elite
Swimming,2018,100m Freestyle,Women,20181201,Anna Hopkin,England,Great Britain,54.53,54530,Elite
Swimming,2018,100m Freestyle,Women,20180408,Lucy Hope,Great Britain,Great Britain,55.43,55430,Elite
Swimming,2018,100m Freestyle,Women,20180727,Emily Crane,Great Britain,Great Britain,55.60,55600,Elite
Swimming,2018,100m Freestyle,Women,20180406,Katie Stark,Great Britain,Great Britain,55.60,55600,Elite
Swimming,2018,100m Freestyle,Women,20180727,Elizabeth Harris,Great Britain,Great Britain,55.65,55650,Elite
Swimming,2018,100m Freestyle,Women,20180304,Eleanor Faulkner,England,Great Britain,55.82,55820,Elite
Swimming,2018,100m Freestyle,Women,20180408,Jessica Jackson,England,Great Britain,55.84,55840,Elite
Swimming,2018,100m Freestyle,Women,20180406,Tain Bruce,Great Britain,Great Britain,55.96,55960,Elite
Swimming,2018,100m Freestyle,Women,20180630,Siobhan-Marie O'Connor,England,Great Britain,55.97,55970,Elite
Swimming,2018,100m Freestyle,Women,20180406,Rachel-Louise Masson,Scotland,Great Britain,56.03,56030,Elite
Swimming,2018,100m Freestyle,Women,20180727,Hannah Burvill,Great Britain,Great Britain,56.08,56080,Elite
Swimming,2018,100m Freestyle,Women,20180727,Beth Aitchison,Great Britain,Great Britain,56.37,56370,Elite
Swimming,2018,100m Freestyle,Women,20180727,Amy Grant,Great Britain,Great Britain,56.37,56370,Elite
Swimming,2018,100m Freestyle,Women,20180408,Emily Barclay,Great Britain,Great Britain,56.45,56450,Elite
Swimming,2018,100m Freestyle,Women,20180727,Jemima Hall,Great Britain,Great Britain,56.64,56640,Elite
Swimming,2018,100m Freestyle,Women,20180304,Laura Mcnab,Great Britain,Great Britain,56.66,56660,Elite
Swimming,2018,100m Freestyle,Women,20180727,Anna Maine,England,Great Britain,56.71,56710,Elite
Swimming,2018,100m Freestyle,Women,20180727,Sophie Smith,Great Britain,Great Britain,56.71,56710,Elite
Swimming,2018,100m Freestyle,Women,20180727,Kate Clifton,Great Britain,Great Britain,56.77,56770,Elite
Swimming,2018,100m Freestyle,Women,20180304,Kathryn Greenslade,Wales,Great Britain,56.83,56830,Elite
Swimming,2018,100m Freestyle,Women,20180727,Tamryn Van Selm,Great Britain,Great Britain,56.88,56880,Elite
Swimming,2018,1500m Freestyle,Men,20180410,Daniel Jervis,Wales,Great Britain,14:48.67,888670,Elite
Swimming,2018,1500m Freestyle,Men,20180407,Tom Derbyshire,Great Britain,Great Britain,15:07.07,907070,Elite
Swimming,2018,1500m Freestyle,Men,20180705,Nathan Hughes,Great Britain,Great Britain,15:24.81,924810,Elite
Swimming,2018,1500m Freestyle,Men,20180726,Kieran Bird,Great Britain,Great Britain,15:38.52,938520,Elite
Swimming,2018,1500m Freestyle,Men,20180726,Samuel Budd,Great Britain,Great Britain,15:38.76,938760,Elite
Swimming,2018,1500m Freestyle,Men,20180726,William Bell,Great Britain,Great Britain,15:39.59,939590,Elite
Swimming,2018,1500m Freestyle,Men,20181201,Gordon Mason,Great Britain,Great Britain,15:42.76,942760,Elite
Swimming,2018,1500m Freestyle,Men,20180301,Jakob Goodman,Great Britain,Great Britain,15:43.25,943250,Elite
Swimming,2018,1500m Freestyle,Men,20180726,Jamie Scholes,Great Britain,Great Britain,15:43.44,943440,Elite
Swimming,2018,1500m Freestyle,Men,20180810,Giuseppe Bogani,Great Britain,Great Britain,15:43.94,943940,Elite
Swimming,2018,1500m Freestyle,Men,20180726,Samuel Osborne,Great Britain,Great Britain,15:44.19,944190,Elite
Swimming,2018,1500m Freestyle,Men,20180406,William Ryley,Great Britain,Great Britain,15:45.45,945450,Elite
Swimming,2018,1500m Freestyle,Men,20180726,Luke Turley,Great Britain,Great Britain,15:46.72,946720,Elite
Swimming,2018,1500m Freestyle,Men,20180726,Hector Pardoe,Great Britain,Great Britain,15:54.29,954290,Elite
Swimming,2018,1500m Freestyle,Men,20180301,Ryan Reader,Great Britain,Great Britain,15:56.94,956940,Elite
Swimming,2018,1500m Freestyle,Men,20180726,Adam Wilson,Great Britain,Great Britain,16:01.65,961650,Elite
Swimming,2018,1500m Freestyle,Women,20180405,Alice Dearing,England,Great Britain,16:37.62,997620,Elite
Swimming,2018,1500m Freestyle,Women,20180727,Polly Holden,Great Britain,Great Britain,16:39.72,999720,Elite
Swimming,2018,1500m Freestyle,Women,20180727,Maisie Mccartney,Great Britain,Great Britain,16:52.34,1012340,Elite
Swimming,2018,1500m Freestyle,Women,20180405,Emily Clarke,Great Britain,Great Britain,16:55.82,1015820,Elite
Swimming,2018,1500m Freestyle,Women,20180727,Alisha Hawkins,Great Britain,Great Britain,16:59.52,1019520,Elite
Swimming,2018,1500m Freestyle,Women,20180727,Leah Crisp,Great Britain,Great Britain,16:59.67,1019670,Elite
Swimming,2018,1500m Freestyle,Women,20180727,Nicole Ryan,Great Britain,Great Britain,17:02.75,1022750,Elite
Swimming,2018,1500m Freestyle,Women,20180706,Georgia Darwent,Great Britain,Great Britain,17:05.36,1025360,Elite
Swimming,2018,1500m Freestyle,Women,20180423,Philippa O'Brien,Great Britain,Great Britain,17:07.63,1027630,Elite
Swimming,2018,1500m Freestyle,Women,20180727,Michaella Glenister,Great Britain,Great Britain,17:07.92,1027920,Elite
Swimming,2018,1500m Freestyle,Women,20180727,Emilia Sansome,Great Britain,Great Britain,17:07.94,1027940,Elite
Swimming,2018,1500m Freestyle,Women,20180727,Fleur Lewis,Great Britain,Great Britain,17:08.13,1028130,Elite
Swimming,2018,1500m Freestyle,Women,20180727,Phoebe Griffiths,Great Britain,Great Britain,17:11.58,1031580,Elite
Swimming,2018,1500m Freestyle,Women,20180804,Elizabeth Boeckman,Great Britain,Great Britain,17:11.59,1031590,Elite
Swimming,2018,1500m Freestyle,Women,20180328,Iona Macleod,Great Britain,Great Britain,17:14.89,1034890,Elite
Swimming,2018,200m Backstroke,Men,20180409,Luke Greenbank,England,Great Britain,1:57.43,117430,Elite
Swimming,2018,200m Backstroke,Men,20180409,Craig McNally,Scotland,Great Britain,1:58.32,118320,Elite
Swimming,2018,200m Backstroke,Men,20180807,Brodie Williams,Great Britain,Great Britain,1:58.62,118620,Elite
Swimming,2018,200m Backstroke,Men,20180409,Xavier Castelli,Wales,Great Britain,1:59.27,119270,Elite
Swimming,2018,200m Backstroke,Men,20180325,Francisco Rogerio Santos,Great Britain,Great Britain,2:00.10,120100,Elite
Swimming,2018,200m Backstroke,Men,20180405,Daniel Cross,Great Britain,Great Britain,2:00.23,120230,Elite
Swimming,2018,200m Backstroke,Men,20180729,Callum Barrett,Great Britain,Great Britain,2:00.72,120720,Elite
Swimming,2018,200m Backstroke,Men,20180405,James Mcfadzen,Great Britain,Great Britain,2:01.25,121250,Elite
Swimming,2018,200m Backstroke,Men,20180729,Charlie Hutchison,Great Britain,Great Britain,2:01.63,121630,Elite
Swimming,2018,200m Backstroke,Men,20180408,Joseph Hulme,Great Britain,Great Britain,2:01.67,121670,Elite
Swimming,2018,200m Backstroke,Men,20180701,Elliot Clogg,England,Great Britain,2:01.84,121840,Elite
Swimming,2018,200m Backstroke,Men,20180111,Nicholas Pyle,Great Britain,Great Britain,2:02.17,122170,Elite
Swimming,2018,200m Backstroke,Men,20180729,Charlie Brown,Great Britain,Great Britain,2:02.55,122550,Elite
Swimming,2018,200m Backstroke,Men,20180729,Daniel Hall,Great Britain,Great Britain,2:02.60,122600,Elite
Swimming,2018,200m Backstroke,Men,20180729,Jacob Greenow,Great Britain,Great Britain,2:03.00,123000,Elite
Swimming,2018,200m Backstroke,Men,20180701,Joseph Small,Great Britain,Great Britain,2:03.10,123100,Elite
Swimming,2018,200m Backstroke,Men,20180729,Jamie Scholes,Great Britain,Great Britain,2:03.62,123620,Elite
Swimming,2018,200m Backstroke,Men,20180303,Ioan Evans,Great Britain,Great Britain,2:03.68,123680,Elite
